claim_id,date,product_model,plant,failure_code,narrative
C-10186,2026-04-29,Model X,Plant B - Austin,BODY,Driver side door latch requires extra force to shut completely.
C-10254,2026-05-15,Apex SUV,Plant A - Fremont,ELECTRICAL,Field complaint: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10241,2026-04-18,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Field complaint: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10034,2026-05-26,Model X,Plant D - Yokohama,BRAKES,Customer reports: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-9032,2026-07-27,Model X,Plant A - Fremont,OTHER,Front left suspension makes sharp popping/clunking noise over neighborhood speed bumps.
C-10085,2026-04-13,Sedan Alpha,Plant A - Fremont,POWERTRAIN,Driver stated Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10027,2026-07-12,Apex SUV,Plant C - Leipzig,HVAC,Customer reports: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10183,2026-06-27,Sedan Alpha,Plant D - Yokohama,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-9028,2026-07-20,Model X,Plant A - Fremont,ELECTRICAL-NFF,"Customer heard knocking near driver wheel; tested electronic damper, no error code, mechanical clunking confirmed."
C-10109,2026-07-10,Cruiser Pro,Plant C - Leipzig,RIDE QUALITY,Tech notes: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10097,2026-04-21,Cruiser Pro,Plant D - Yokohama,POWERTRAIN,Field complaint: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10060,2026-01-31,Titan EV,Plant A - Fremont,HVAC,A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10160,2026-05-06,Titan EV,Plant A - Fremont,BRAKES,Tech notes: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10271,2026-06-03,Sedan Alpha,Plant A - Fremont,POWERTRAIN,Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10284,2026-03-11,Titan EV,Plant A - Fremont,ELECTRICAL-NFF,"Driver stated Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10300,2026-03-31,Model Y,Plant A - Fremont,ELECTRICAL,Tech notes: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10326,2026-01-12,Sedan Alpha,Plant B - Austin,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10353,2026-07-19,Apex SUV,Plant D - Yokohama,BODY,Tech notes: Passenger window makes grinding sound when rolling down.
C-10149,2026-05-22,Cruiser Pro,Plant C - Leipzig,POWERTRAIN,Driver stated Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10290,2026-02-03,Titan EV,Plant B - Austin,STEERING,Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10002,2026-02-27,Apex SUV,Plant A - Fremont,ELECTRICAL,Left headlight intermittent operation; replaced wiring harness connection pin.
C-10232,2026-07-25,Model X,Plant D - Yokohama,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10227,2026-01-24,Sedan Alpha,Plant D - Yokohama,POWERTRAIN,Tech notes: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10018,2026-02-28,Sedan Alpha,Plant D - Yokohama,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10084,2026-07-30,Model Y,Plant A - Fremont,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10337,2026-04-06,Model X,Plant C - Leipzig,HVAC,Customer reports: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10216,2026-04-28,Apex SUV,Plant A - Fremont,HVAC,Field complaint: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10078,2026-04-02,Apex SUV,Plant B - Austin,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10327,2026-06-06,Apex SUV,Plant D - Yokohama,POWERTRAIN,Tech notes: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10352,2026-01-12,Titan EV,Plant C - Leipzig,POWERTRAIN,Tech notes: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10339,2026-03-15,Apex SUV,Plant B - Austin,RIDE QUALITY,Field complaint: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-9019,2026-07-02,Model X,Plant A - Fremont,OTHER,Front-left suspension produces heavy clunking noise over speed bumps at low speeds.
C-10082,2026-02-10,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Field complaint: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10042,2026-03-26,Titan EV,Plant B - Austin,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10069,2026-02-04,Model X,Plant A - Fremont,HVAC,Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10141,2026-04-26,Cruiser Pro,Plant D - Yokohama,HVAC,Driver stated A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10203,2026-01-10,Titan EV,Plant C - Leipzig,ELECTRICAL,Customer reports: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10172,2026-07-31,Model X,Plant A - Fremont,ELECTRICAL,Tech notes: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10285,2026-04-21,Sedan Alpha,Plant D - Yokohama,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10089,2026-06-05,Cruiser Pro,Plant B - Austin,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10043,2026-06-21,Model Y,Plant B - Austin,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10130,2026-06-29,Sedan Alpha,Plant B - Austin,HVAC,Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10040,2026-05-31,Titan EV,Plant B - Austin,HVAC,Customer reports: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10105,2026-07-19,Model Y,Plant B - Austin,BODY,Driver side door latch requires extra force to shut completely.
C-10324,2026-07-16,Titan EV,Plant D - Yokohama,ELECTRICAL,Tech notes: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10299,2026-06-12,Titan EV,Plant B - Austin,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10321,2026-02-16,Sedan Alpha,Plant D - Yokohama,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-9008,2026-05-12,Model X,Plant B - Austin,OTHER,Front end knocks severely over speed humps. Technician inspected front left control arm area.
C-10297,2026-04-13,Cruiser Pro,Plant C - Leipzig,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10270,2026-04-01,Apex SUV,Plant A - Fremont,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-10072,2026-01-14,Apex SUV,Plant D - Yokohama,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10307,2026-01-10,Sedan Alpha,Plant C - Leipzig,BRAKES,Customer reports: Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10340,2026-04-25,Model X,Plant A - Fremont,BRAKES,Driver stated Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10019,2026-01-17,Titan EV,Plant C - Leipzig,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10132,2026-05-29,Sedan Alpha,Plant D - Yokohama,BRAKES,Field complaint: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10101,2026-07-26,Model Y,Plant A - Fremont,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-9024,2026-07-12,Model X,Plant A - Fremont,STEERING,Customer complained of front steering area rattle; inspection showed front-left suspension bushing knocking.
C-10007,2026-03-13,Model Y,Plant C - Leipzig,ELECTRICAL,Customer reports: Left headlight intermittent operation; replaced wiring harness connection pin.
C-9015,2026-06-18,Model X,Plant B - Austin,OTHER,Driver states sharp metallic pop/knock from left front wheel well when hitting road dips.
C-9022,2026-07-08,Model X,Plant C - Leipzig,OTHER,Metallic clunk sound near driver front wheel when crossing driveway curb.
C-10138,2026-04-22,Apex SUV,Plant C - Leipzig,ELECTRICAL,12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10053,2026-01-16,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Field complaint: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10246,2026-01-24,Apex SUV,Plant A - Fremont,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10052,2026-04-15,Cruiser Pro,Plant B - Austin,RIDE QUALITY,Field complaint: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10250,2026-01-01,Model Y,Plant B - Austin,HVAC,Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10013,2026-01-26,Sedan Alpha,Plant D - Yokohama,STEERING,Driver stated Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10245,2026-04-12,Model Y,Plant A - Fremont,HVAC,Field complaint: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10262,2026-05-10,Model X,Plant A - Fremont,BODY,Driver side door latch requires extra force to shut completely.
C-10364,2026-04-25,Model Y,Plant D - Yokohama,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-10066,2026-03-31,Model Y,Plant C - Leipzig,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10094,2026-05-22,Model Y,Plant D - Yokohama,ELECTRICAL,Field complaint: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10006,2026-03-13,Model Y,Plant D - Yokohama,BRAKES,Driver stated Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10111,2026-03-12,Model X,Plant C - Leipzig,BODY,Tech notes: Passenger window makes grinding sound when rolling down.
C-10294,2026-03-16,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10343,2026-01-13,Cruiser Pro,Plant D - Yokohama,HVAC,Customer reports: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10081,2026-07-08,Cruiser Pro,Plant B - Austin,POWERTRAIN,Driver stated Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10131,2026-06-05,Model Y,Plant C - Leipzig,ELECTRICAL,Customer reports: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10048,2026-03-05,Model Y,Plant D - Yokohama,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10050,2026-01-20,Titan EV,Plant A - Fremont,BODY,Customer reports: Passenger window makes grinding sound when rolling down.
C-10121,2026-02-02,Cruiser Pro,Plant A - Fremont,BRAKES,Customer reports: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10336,2026-05-09,Model Y,Plant D - Yokohama,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10316,2026-03-06,Sedan Alpha,Plant A - Fremont,ELECTRICAL,Left headlight intermittent operation; replaced wiring harness connection pin.
C-10029,2026-07-04,Titan EV,Plant B - Austin,HVAC,Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-9029,2026-07-22,Model X,Plant A - Fremont,RIDE QUALITY,Pronounced knocking vibration from left front suspension over cobblestone road.
C-10223,2026-07-18,Titan EV,Plant C - Leipzig,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10187,2026-04-03,Apex SUV,Plant D - Yokohama,RIDE QUALITY,Customer reports: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10273,2026-01-28,Titan EV,Plant C - Leipzig,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10059,2026-01-18,Apex SUV,Plant B - Austin,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10274,2026-07-15,Titan EV,Plant B - Austin,HVAC,Field complaint: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10031,2026-04-06,Titan EV,Plant A - Fremont,ELECTRICAL,12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10142,2026-01-08,Sedan Alpha,Plant B - Austin,RIDE QUALITY,Field complaint: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10230,2026-07-26,Apex SUV,Plant C - Leipzig,POWERTRAIN,Customer reports: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10204,2026-04-23,Titan EV,Plant D - Yokohama,ELECTRICAL,Customer reports: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10334,2026-02-07,Model X,Plant B - Austin,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10263,2026-07-04,Cruiser Pro,Plant D - Yokohama,ELECTRICAL-NFF,"Tech notes: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10128,2026-01-06,Model Y,Plant B - Austin,ELECTRICAL,Field complaint: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10346,2026-04-20,Titan EV,Plant C - Leipzig,BRAKES,Tech notes: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10302,2026-02-15,Cruiser Pro,Plant D - Yokohama,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10260,2026-06-05,Model X,Plant B - Austin,ELECTRICAL,Driver stated Left headlight intermittent operation; replaced wiring harness connection pin.
C-10175,2026-03-11,Cruiser Pro,Plant A - Fremont,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10176,2026-01-11,Apex SUV,Plant C - Leipzig,BODY,Driver side door latch requires extra force to shut completely.
C-10235,2026-06-22,Cruiser Pro,Plant A - Fremont,HVAC,A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10211,2026-01-12,Model X,Plant C - Leipzig,POWERTRAIN,Driver stated Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10325,2026-02-11,Apex SUV,Plant B - Austin,ELECTRICAL,Field complaint: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10124,2026-04-27,Sedan Alpha,Plant D - Yokohama,POWERTRAIN,Driver stated Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10295,2026-02-13,Apex SUV,Plant C - Leipzig,BODY,Customer reports: Passenger window makes grinding sound when rolling down.
C-10323,2026-07-21,Titan EV,Plant A - Fremont,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10032,2026-03-24,Model X,Plant A - Fremont,RIDE QUALITY,Driver stated Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10248,2026-02-22,Titan EV,Plant B - Austin,BRAKES,Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10205,2026-07-04,Cruiser Pro,Plant B - Austin,ELECTRICAL,Customer reports: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10154,2026-02-28,Model Y,Plant C - Leipzig,POWERTRAIN,Customer reports: Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10329,2026-04-05,Cruiser Pro,Plant C - Leipzig,BODY,Field complaint: Passenger window makes grinding sound when rolling down.
C-10249,2026-02-25,Sedan Alpha,Plant B - Austin,HVAC,A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10150,2026-06-29,Sedan Alpha,Plant C - Leipzig,BODY,Driver stated Passenger window makes grinding sound when rolling down.
C-10319,2026-07-28,Apex SUV,Plant A - Fremont,ELECTRICAL,Field complaint: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10218,2026-05-31,Apex SUV,Plant D - Yokohama,POWERTRAIN,Driver stated Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10087,2026-01-30,Model Y,Plant C - Leipzig,HVAC,Customer reports: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10037,2026-05-19,Apex SUV,Plant C - Leipzig,ELECTRICAL-NFF,"Field complaint: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10305,2026-07-23,Titan EV,Plant A - Fremont,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10304,2026-04-23,Cruiser Pro,Plant D - Yokohama,BRAKES,Driver stated Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10080,2026-02-11,Cruiser Pro,Plant A - Fremont,ELECTRICAL,Tech notes: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10226,2026-07-21,Model X,Plant C - Leipzig,BODY,Tech notes: Passenger window makes grinding sound when rolling down.
C-10341,2026-02-25,Titan EV,Plant D - Yokohama,ELECTRICAL,Customer reports: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10055,2026-06-19,Model Y,Plant B - Austin,RIDE QUALITY,Driver stated Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10046,2026-04-19,Cruiser Pro,Plant A - Fremont,BODY,Customer reports: Driver side door latch requires extra force to shut completely.
C-10119,2026-04-22,Model X,Plant D - Yokohama,RIDE QUALITY,Driver stated Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10114,2026-01-17,Cruiser Pro,Plant C - Leipzig,BODY,Driver side door latch requires extra force to shut completely.
C-10243,2026-02-25,Cruiser Pro,Plant B - Austin,BODY,Driver stated Passenger window makes grinding sound when rolling down.
C-10247,2026-07-21,Model Y,Plant B - Austin,POWERTRAIN,Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-9034,2026-07-29,Model X,Plant B - Austin,ELECTRICAL-NFF,"Customer stated front suspension sensor alert; diagnostics clear, physical knocking from front-left lower control arm."
C-10143,2026-02-24,Sedan Alpha,Plant C - Leipzig,POWERTRAIN,Driver stated Customer observed small puddle of pink coolant under vehicle after parking overnight.
C-10129,2026-06-21,Titan EV,Plant B - Austin,ELECTRICAL,Field complaint: Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10010,2026-02-01,Model X,Plant C - Leipzig,STEERING,Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10331,2026-02-05,Model X,Plant D - Yokohama,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10054,2026-03-09,Sedan Alpha,Plant D - Yokohama,BODY,Passenger window makes grinding sound when rolling down.
C-10197,2026-03-14,Titan EV,Plant D - Yokohama,POWERTRAIN,Tech notes: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10003,2026-01-23,Model X,Plant A - Fremont,BODY,Customer reports: Driver side door latch requires extra force to shut completely.
C-10035,2026-07-14,Model Y,Plant D - Yokohama,ELECTRICAL,Left headlight intermittent operation; replaced wiring harness connection pin.
C-10028,2026-03-17,Model Y,Plant D - Yokohama,BODY,Customer reports: Driver side door latch requires extra force to shut completely.
C-10068,2026-07-26,Apex SUV,Plant C - Leipzig,BRAKES,Customer reports: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10217,2026-03-15,Model X,Plant D - Yokohama,ELECTRICAL,Driver stated 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10112,2026-03-11,Sedan Alpha,Plant A - Fremont,POWERTRAIN,Tech notes: Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10279,2026-01-24,Cruiser Pro,Plant D - Yokohama,ELECTRICAL-NFF,"Field complaint: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10075,2026-01-03,Model X,Plant B - Austin,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10194,2026-05-04,Model Y,Plant D - Yokohama,RIDE QUALITY,Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10099,2026-06-18,Sedan Alpha,Plant C - Leipzig,BRAKES,Customer reports: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10100,2026-07-29,Apex SUV,Plant C - Leipzig,HVAC,Tech notes: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10026,2026-03-06,Apex SUV,Plant A - Fremont,BRAKES,Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10253,2026-02-14,Model X,Plant B - Austin,HVAC,Field complaint: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10164,2026-04-20,Titan EV,Plant A - Fremont,POWERTRAIN,Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10231,2026-04-30,Model Y,Plant B - Austin,BRAKES,Field complaint: Intermittent ABS warning indicator illuminated on cluster during highway braking test.
C-10221,2026-03-17,Model X,Plant D - Yokohama,POWERTRAIN,Driver stated Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10061,2026-01-21,Apex SUV,Plant C - Leipzig,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-9014,2026-06-15,Model X,Plant A - Fremont,ELECTRICAL-NFF,"Scanned for suspension control module error; no active DTCs, verified mechanical clunking from front-left strut."
C-10024,2026-02-09,Apex SUV,Plant D - Yokohama,ELECTRICAL,12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10093,2026-03-21,Sedan Alpha,Plant D - Yokohama,BODY,Driver stated Driver side door latch requires extra force to shut completely.
C-10108,2026-06-06,Titan EV,Plant D - Yokohama,BODY,Tech notes: Driver side door latch requires extra force to shut completely.
C-10298,2026-02-26,Model Y,Plant A - Fremont,POWERTRAIN,Transmission hesitation and slight jerk when shifting from 2nd to 3rd gear under acceleration.
C-10126,2026-01-05,Sedan Alpha,Plant B - Austin,BRAKES,Customer reports: Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10169,2026-03-15,Apex SUV,Plant D - Yokohama,POWERTRAIN,Customer reports: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10342,2026-07-18,Model Y,Plant C - Leipzig,POWERTRAIN,Customer reports: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10237,2026-06-12,Apex SUV,Plant C - Leipzig,BODY,Field complaint: Passenger window makes grinding sound when rolling down.
C-10036,2026-02-12,Titan EV,Plant D - Yokohama,HVAC,Tech notes: Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
C-10259,2026-07-02,Model X,Plant A - Fremont,BODY,Driver stated Passenger window makes grinding sound when rolling down.
C-10005,2026-02-20,Model Y,Plant D - Yokohama,BODY,Driver side door latch requires extra force to shut completely.
C-10193,2026-05-08,Titan EV,Plant C - Leipzig,POWERTRAIN,Field complaint: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10156,2026-05-22,Apex SUV,Plant B - Austin,POWERTRAIN,Field complaint: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10155,2026-07-01,Sedan Alpha,Plant A - Fremont,ELECTRICAL,Customer reports: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10196,2026-03-12,Sedan Alpha,Plant C - Leipzig,BODY,Customer reports: Driver side door latch requires extra force to shut completely.
C-10355,2026-03-17,Model X,Plant B - Austin,ELECTRICAL-NFF,"Customer reports: Customer reported intermittent camera glitch; tested system on diagnostic bench, no fault found (NFF)."
C-10044,2026-05-28,Model Y,Plant D - Yokohama,RIDE QUALITY,Field complaint: Slight highway vibration felt through seat at 70 mph; performed tire rebalancing.
C-10275,2026-05-24,Titan EV,Plant C - Leipzig,BRAKES,Customer reports: Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-9017,2026-06-25,Model X,Plant C - Leipzig,STEERING,Knocking vibration felt through steering column when going over potholes; front left strut loose.
C-10256,2026-05-09,Titan EV,Plant A - Fremont,HVAC,A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10162,2026-05-23,Titan EV,Plant B - Austin,BODY,Driver side door latch requires extra force to shut completely.
C-10151,2026-03-01,Apex SUV,Plant B - Austin,ELECTRICAL,Driver stated Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10153,2026-03-12,Model X,Plant B - Austin,POWERTRAIN,Driver stated Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10296,2026-04-22,Model Y,Plant D - Yokohama,ELECTRICAL,Center infotainment touchscreen went black and rebooted spontaneously while driving.
C-10086,2026-03-31,Apex SUV,Plant C - Leipzig,STEERING,Customer reports: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-9035,2026-07-30,Model X,Plant A - Fremont,RIDE QUALITY,Excessive front-left suspension clunk and harsh ride over railroad tracks.
C-10030,2026-01-28,Apex SUV,Plant B - Austin,POWERTRAIN,Tech notes: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-9018,2026-06-29,Model X,Plant A - Fremont,SUSPENSION,Front left suspension bushing worn; loud clunk over uneven railway crossings.
C-10190,2026-07-24,Apex SUV,Plant B - Austin,HVAC,Driver stated A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-10354,2026-07-27,Model X,Plant D - Yokohama,ELECTRICAL,Customer reports: Left headlight intermittent operation; replaced wiring harness connection pin.
C-10277,2026-03-31,Model Y,Plant B - Austin,BRAKES,Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10039,2026-03-05,Model X,Plant C - Leipzig,HVAC,Customer reports: A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-9016,2026-06-22,Model X,Plant A - Fremont,RIDE QUALITY,Rough ride complaint: prominent knocking and clunking from front driver side corner on rough surfaces.
C-10047,2026-01-16,Apex SUV,Plant C - Leipzig,STEERING,Customer reports: Steering wheel feels stiff when turning at standstill or low speed parking maneuvers.
C-10313,2026-04-23,Sedan Alpha,Plant C - Leipzig,ELECTRICAL,Driver stated 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10349,2026-05-01,Apex SUV,Plant D - Yokohama,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10228,2026-02-21,Titan EV,Plant C - Leipzig,ELECTRICAL,Left headlight intermittent operation; replaced wiring harness connection pin.
C-10152,2026-01-31,Model Y,Plant B - Austin,ELECTRICAL,Field complaint: 12V auxiliary battery discharge warning triggered; replaced battery and sensor.
C-10173,2026-07-22,Titan EV,Plant C - Leipzig,POWERTRAIN,Field complaint: Engine check light on with code P0301; inspected cylinder 1 ignition coil and replaced.
C-10292,2026-04-22,Cruiser Pro,Plant A - Fremont,BRAKES,Driver stated Customer states front brakes squeak loudly when coming to a gentle stop at low speeds.
C-10309,2026-05-29,Cruiser Pro,Plant B - Austin,BRAKES,Driver stated Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10004,2026-02-25,Titan EV,Plant A - Fremont,HVAC,A/C blower motor making high-pitch whistling noise when fan set to maximum speed.
C-9030,2026-07-24,Model X,Plant B - Austin,OTHER,Driver reports audible clunking in driver front wheel well when accelerating over road dips.
C-10293,2026-05-28,Titan EV,Plant D - Yokohama,BODY,Field complaint: Driver side door latch requires extra force to shut completely.
C-10106,2026-04-29,Titan EV,Plant B - Austin,BRAKES,Customer reports: Technician inspected brake pads; found uneven rotor wear and slight pulsation under braking.
C-10188,2026-02-22,Titan EV,Plant B - Austin,HVAC,Driver stated Air conditioning not blowing cold air on hot afternoons; recharged refrigerant system.
